,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
19,Diego Alves,38509,262,https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png,10,2.14,Diego Alves Carreira,0.0,1,8.96,37,"{'CV': 1, 'DD': 9, 'FS': 3, 'GS': 11, 'PI': 41, 'SG': 3}",diego-alves,6,0.0
20,Tailson,104578,277,https://s.glbimg.com/es/sde/f/2020/02/28/6a3d988146a39cccc9f2572d2d1235f8_FORMATO.png,11,0.63,Tailson Pinto Gonáalves,0.0,5,2.21,37,"{'DS': 6, 'FC': 7, 'FD': 2, 'FS': 8, 'PI': 21}",tailson,6,0.0
21,Juninho,92182,265,https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png,26,1.91,JosÇ Carlos Ferreira J£nior,5.0,3,7.94,37,"{'CA': 2, 'CV': 1, 'DS': 33, 'FC': 5, 'FD': 2, 'FF': 4, 'FS': 8, 'G': 1, 'I': 1, 'PI': 95, 'SG': 4}",juninho,6,0.89
22,Danilo Barcelos,84382,266,https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png,17,0.74,Danilo Carvalho Barcelos,0.0,2,3.67,37,"{'A': 2, 'CA': 5, 'CV': 1, 'DS': 27, 'FC': 44, 'FD': 3, 'FF': 5, 'FS': 5, 'G': 1, 'I': 2, 'PI': 244, 'SG': 4}",danilo-barcelos,7,0.0
23,C†ssio,42234,264,https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png,25,0.97,C†ssio Roberto Ramos,4.8,1,7.57,37,"{'CA': 1, 'CV': 1, 'DD': 21, 'DS': 1, 'FC': 1, 'FS': 1, 'GS': 34, 'PI': 206, 'SG': 7}",cassio,7,1.05
24,Sandry,104580,277,https://s.glbimg.com/es/sde/f/2020/03/09/8bf582cd91832a1415dc460fd233c490_FORMATO.png,16,0.83,Sandry Roberto Santos Goes,2.0,4,1.95,37,"{'CA': 4, 'CV': 1, 'DS': 37, 'FC': 24, 'FF': 3, 'FS': 10, 'PI': 62}",sandry,7,0.23
25,Gatito Fern†ndez,74061,263,https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png,8,5.6,Roberto Junior Fern†ndez Torres,0.0,1,14.9,37,"{'CA': 1, 'DD': 13, 'GS': 7, 'PI': 62, 'SG': 3}",gatito-fernandez,5,0.0
26,Fernando Prass,38140,354,https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png,22,2.65,Fernando Buttenbender Prass,0.0,1,5.77,37,"{'CA': 2, 'DD': 29, 'FC': 1, 'FS': 2, 'GS': 33, 'PI': 181, 'SG': 6}",fernando-prass,2,0.0
27,Luan,86759,264,https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png,16,2.11,Luan Guilherme de Jesus Vieira,0.0,4,6.84,37,"{'A': 1, 'CA': 1, 'DS': 17, 'FC': 12, 'FD': 4, 'FF': 9, 'FS': 12, 'FT': 1, 'G': 1, 'PI': 93}",luan,6,0.0
28,Matheus Galdezani,82634,294,https://s.glbimg.com/es/sde/f/2020/01/21/31afad643d040fb649f8917fe595a255_FORMATO.png,23,3.8,Matheus Galdezani,0.0,4,10.47,37,"{'A': 1, 'CA': 5, 'DS': 64, 'FC': 33, 'FD': 8, 'FF': 18, 'FS': 42, 'FT': 2, 'G': 1, 'I': 1, 'PI': 137}",matheus-galdezani,6,0.0
29,Gil,68923,264,https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png,25,3.21,Carlos Gilberto do Nascimento Silva,4.6,3,6.71,37,"{'A': 2, 'CA': 3, 'DS': 39, 'FC': 20, 'FD': 1, 'FF': 3, 'FS': 16, 'FT': 1, 'G': 1, 'GC': 1, 'I': 1, 'PI': 99, 'SG': 8}",gil,7,0.77
30,Rodrigo Caio,73800,262,https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png,19,3.04,Rodrigo Caio Coquette Russo,2.5,3,8.36,37,"{'CA': 1, 'DS': 29, 'FC': 17, 'FD': 2, 'FF': 5, 'FS': 13, 'PI': 37, 'SG': 6}",rodrigo-caio,7,0.36
31,Filipe Lu°s,38750,262,https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png,28,4.26,Filipe Lu°s Kasmirski,6.9,2,8.11,37,"{'A': 2, 'CA': 7, 'DS': 96, 'FC': 43, 'FD': 2, 'FF': 2, 'FS': 35, 'FT': 1, 'G': 2, 'GC': 1, 'I': 1, 'PI': 261, 'SG': 8}",filipe-luis,7,1.69
32,Bruno Alves,73620,276,https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png,23,2.16,Bruno Fabiano Alves,-1.4,3,7.15,37,"{'CA': 4, 'DS': 30, 'FC': 32, 'FF': 7, 'FS': 37, 'PI': 56, 'SG': 5}",bruno-alves,7,-0.18
33,Gustavo Henrique,78248,262,https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png,22,2.33,Gustavo Henrique Vernes,0.7,3,5.37,37,"{'CA': 4, 'CV': 1, 'DS': 24, 'FC': 29, 'FD': 3, 'FF': 8, 'FS': 10, 'G': 2, 'GC': 1, 'PI': 61, 'SG': 7}",gustavo-henrique,7,0.11
34,Renà,78445,262,https://s.glbimg.com/es/sde/f/2020/07/21/60d54826cbdcb1e92c0ae4057efbd02c_FORMATO.png,12,3.21,Renà Rodrigues Martins,0.0,2,4.84,37,"{'A': 1, 'CA': 4, 'DS': 24, 'FC': 12, 'FF': 1, 'FS': 8, 'G': 1, 'PI': 92, 'SG': 4}",rene,6,0.0
35,Wilson,50284,294,https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png,33,2.79,Wilson Rodrigues de Moura J£nior,0.0,1,7.75,37,"{'CV': 1, 'DD': 38, 'DP': 2, 'DS': 1, 'FS': 4, 'G': 1, 'GS': 46, 'PI': 285, 'SG': 8}",wilson,6,0.0
36,CÇsar,78086,262,https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png,5,0.16,CÇsar Bernardo Dutra,0.0,1,2.35,37,"{'GS': 4, 'PI': 12, 'SG': 2}",cesar,6,0.0
37,Everton Ribeiro,51772,262,https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png,31,4.67,Everton Augusto de Barros Ribeiro,1.6,4,9.3,37,"{'A': 5, 'CA': 4, 'DS': 59, 'FC': 34, 'FD': 10, 'FF': 22, 'FS': 61, 'FT': 1, 'G': 6, 'I': 1, 'PI': 249}",everton-ribeiro,7,-0.65
38,Diego,38909,262,https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png,24,1.88,Diego Ribas da Cunha,-1.6,4,4.86,37,"{'A': 3, 'CA': 7, 'DS': 28, 'FC': 34, 'FD': 4, 'FF': 6, 'FS': 49, 'G': 1, 'PI': 89}",diego,7,-0.28
39,Vitinho,78435,262,https://s.glbimg.com/es/sde/f/2020/07/21/01b5e26f1af011bdac8d661b9dd04e59_FORMATO.png,28,2.32,Victor Vin°cius Coelho dos Santos,0.0,5,6.52,37,"{'A': 2, 'CA': 3, 'DS': 30, 'FC': 25, 'FD': 15, 'FF': 17, 'FS': 16, 'G': 2, 'I': 2, 'PI': 113}",vitinho,6,0.0
40,Thiago Maia,89637,262,https://s.glbimg.com/es/sde/f/2020/07/21/e97cd35e37f6b06e2f64cf984f557490_FORMATO.png,12,2.72,Thiago Maia Alencar,0.0,4,6.99,37,"{'A': 2, 'CA': 4, 'DS': 39, 'FC': 26, 'FD': 2, 'FF': 3, 'FS': 7, 'FT': 1, 'PI': 66}",thiago-maia,5,0.0
41,LÇo Pereira,83528,262,https://s.glbimg.com/es/sde/f/2020/07/21/4218d94bb942c966b0dbec343cc77fd8_FORMATO.png,12,2.26,Leonardo Pereira,0.0,3,5.1,37,"{'CA': 1, 'DS': 20, 'FC': 15, 'FD': 2, 'FF': 3, 'FS': 9, 'G': 1, 'PI': 56, 'SG': 1}",leo-pereira,6,0.0
42,Gerson,89256,262,https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png,30,3.11,Gerson Santos da Silva,3.1,4,9.65,37,"{'A': 2, 'CA': 7, 'DS': 59, 'FC': 66, 'FD': 9, 'FF': 16, 'FS': 110, 'G': 1, 'I': 4, 'PI': 136}",gerson,7,0.09
43,Cazares,81682,264,https://s.glbimg.com/es/sde/f/2020/09/26/b400496767c5b2364514614c6837b344_FORMATO.png,12,3.74,Juan Ram¢n Cazares Sevillano,0.9,4,9.13,37,"{'A': 4, 'CA': 1, 'DS': 9, 'FC': 7, 'FD': 3, 'FF': 9, 'FS': 7, 'FT': 2, 'G': 1, 'PI': 70}",cazares,7,-0.29
44,Gabriel,87393,282,https://s.glbimg.com/es/sde/f/2020/08/31/2e785d81d79f8b578f35f2aa6d7fcf97_FORMATO.png,8,2.94,Gabriel Costa Franáa,0.0,3,6.48,37,"{'CA': 2, 'DS': 9, 'FC': 8, 'FD': 1, 'FF': 2, 'FS': 1, 'PI': 8, 'SG': 4}",gabriel,6,0.0
45,Hyoran,85931,282,https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png,25,4.76,Hyoran Kaue Dalmoro,0.0,4,11.46,37,"{'A': 4, 'CA': 2, 'DS': 27, 'FC': 36, 'FD': 12, 'FF': 21, 'FS': 32, 'FT': 2, 'G': 8, 'I': 2, 'PI': 181, 'PP': 1}",hyoran,7,0.0
46,Otero,83004,264,https://s.glbimg.com/es/sde/f/2020/08/24/62b6f54e98abc98430c7cf8079b8f517_FORMATO.png,18,3.16,R¢mulo Otero V†squez,0.9,4,10.16,37,"{'A': 1, 'CA': 6, 'CV': 1, 'DS': 24, 'FC': 25, 'FD': 12, 'FF': 16, 'FS': 50, 'FT': 3, 'G': 1, 'I': 3, 'PI': 104}",otero,6,-0.48
47,JosÇ Welison,86859,263,https://s.glbimg.com/es/sde/f/2020/10/29/46f07bfe5b86d16343f64516421ab810_FORMATO.png,14,2.61,JosÇ Welison da Silva,0.0,4,4.26,37,"{'A': 1, 'DS': 33, 'FC': 18, 'FF': 9, 'FS': 11, 'PI': 51}",jose-welison,6,0.0
48,Rafael,68928,282,https://s.glbimg.com/es/sde/f/2020/08/31/70a9b022ffebe02680755240aa4440cc_FORMATO.png,9,2.0,Rafael Pires Monteiro,0.0,1,7.01,37,"{'CV': 1, 'DD': 6, 'FC': 1, 'GS': 7, 'PI': 65, 'SG': 4}",rafael,6,0.0
49,Nathan,87009,282,https://s.glbimg.com/es/sde/f/2020/08/31/1c31d45f66d706f1d16d05f1b5da0056_FORMATO.png,23,2.91,Nathan Allan de Souza,0.0,4,9.68,37,"{'A': 1, 'DS': 25, 'FC': 7, 'FD': 9, 'FF': 8, 'FS': 10, 'G': 3, 'I': 2, 'PI': 50}",nathan,6,0.0
50,J£nior Alonso,88312,282,https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png,28,3.32,J£nior Osmar Ignacio Alonso Mujica,-2.2,3,9.61,37,"{'A': 2, 'CA': 6, 'DS': 52, 'FC': 36, 'FD': 5, 'FF': 13, 'FS': 3, 'FT': 1, 'G': 1, 'PI': 184, 'SG': 10}",junior-alonso,7,-0.73
51,Igor Rabello,89493,282,https://s.glbimg.com/es/sde/f/2020/08/31/3e81a4b7346c3b3aec5a43ccf3aa2197_FORMATO.png,19,2.85,Igor Rabello da Costa,0.0,3,10.21,37,"{'A': 1, 'CA': 2, 'DS': 20, 'FC': 19, 'FD': 1, 'FF': 1, 'FS': 16, 'FT': 1, 'G': 1, 'PI': 82, 'SG': 6}",igor-rabello,6,0.0
52,Gustavo Blanco,91191,290,https://s.glbimg.com/es/sde/f/2020/10/22/c4fb7a28616bd29c86efe4c7ae63a1b7_FORMATO.png,3,-1.1,Gustavo Blanco Petersen Macedo,0.0,4,3.95,37,"{'CA': 1, 'DS': 1, 'FC': 4, 'FS': 1, 'I': 1, 'PI': 3}",gustavo-blanco,6,0.0
53,Allan,96652,282,https://s.glbimg.com/es/sde/f/2020/08/31/5da528d4c6029f923a12da18ad0cf054_FORMATO.png,28,1.55,Allan Rodrigues de Souza,3.4,4,6.43,37,"{'CA': 6, 'DS': 56, 'FC': 35, 'FD': 6, 'FF': 16, 'FS': 24, 'FT': 1, 'PI': 183}",allan,7,-0.07
54,Bueno,97425,282,https://s.glbimg.com/es/sde/f/2020/08/31/3f5160eda219c10021204248fc78195d_FORMATO.png,7,2.39,Wellington Daniel Bueno,0.0,3,6.89,37,"{'DS': 5, 'FC': 6, 'FF': 1, 'FS': 1, 'PI': 16, 'SG': 3}",bueno,6,0.0
55,Pablo,69138,276,https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png,23,1.64,Pablo Felipe Teixeira,-2.0,5,6.41,37,"{'A': 2, 'CA': 4, 'DS': 16, 'FC': 31, 'FD': 9, 'FF': 22, 'FS': 15, 'G': 1, 'I': 9, 'PI': 39}",pablo,7,-1.04
56,Ma°lton,97898,294,https://s.glbimg.com/es/sde/f/2020/11/12/7baefdcac45915f2d98c0f57b44e3198_FORMATO.png,12,1.65,Ma°lton dos Santos de S†,0.0,2,3.48,37,"{'CA': 2, 'DS': 14, 'FC': 11, 'FD': 2, 'FF': 3, 'FS': 14, 'I': 3, 'PI': 100, 'SG': 3}",mailton,6,0.0
57,Savarino,98672,282,https://s.glbimg.com/es/sde/f/2020/08/31/864520e76c9a189815cf05a7f3f9a096_FORMATO.png,28,3.38,Jefferson David Savarino Quintero,5.7,5,7.17,37,"{'A': 5, 'CA': 2, 'DS': 16, 'FC': 20, 'FD': 10, 'FF': 29, 'FS': 25, 'FT': 4, 'G': 4, 'I': 11, 'PI': 191}",savarino,7,0.81
58,Borrero,106843,282,https://s.glbimg.com/es/sde/f/2020/08/31/7481d168bb02b987aa26c6a0f0df715e_FORMATO.png,5,-1.16,Dylan Felipe Borrero Caicedo,0.0,4,2.43,37,"{'CA': 2, 'CV': 1, 'DS': 5, 'FC': 3, 'FF': 1, 'FS': 1, 'PI': 16}",borrero,6,0.0
59,Marrony,101717,282,https://s.glbimg.com/es/sde/f/2020/08/31/0b8fc0d9df187526916b27cd3ddd43a6_FORMATO.png,28,2.53,Marrony da Silva Liberato,6.0,5,9.85,37,"{'A': 1, 'CA': 2, 'DS': 21, 'FC': 24, 'FD': 9, 'FF': 9, 'FS': 11, 'FT': 1, 'G': 5, 'I': 3, 'PI': 40}",marrony,6,0.27
60,LÇo,85626,276,https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png,18,1.11,Leonardo Pinheiro da ConceiáÑo,-2.9,2,3.07,37,"{'A': 1, 'CA': 3, 'DS': 16, 'FC': 11, 'FF': 2, 'FS': 15, 'PI': 86, 'SG': 2}",leo,3,-0.81
61,Everton,50301,284,https://s.glbimg.com/es/sde/f/2020/08/18/21613ca434c9a230ec1b0821a3f70079_FORMATO.png,14,1.56,Everton Cardoso da Silva,1.3,4,4.86,37,"{'A': 1, 'CA': 1, 'DS': 14, 'FC': 17, 'FD': 3, 'FF': 2, 'FS': 14, 'G': 1, 'I': 4, 'PI': 47}",everton,7,-0.06
62,Hernanes,38648,276,https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png,15,1.11,Anderson Hernanes de Carvalho Andrade Lima,-0.8,4,6.44,37,"{'CA': 5, 'DS': 12, 'FC': 16, 'FD': 5, 'FF': 5, 'FS': 16, 'G': 1, 'PI': 33}",hernanes,6,-0.31
63,Guga,101319,282,https://s.glbimg.com/es/sde/f/2020/08/31/ff263cf2e43da8d3c2b3b688ae237c0c_FORMATO.png,29,4.47,Cl†udio Rodrigues Gomes,3.3,2,13.31,37,"{'A': 1, 'CA': 2, 'DS': 78, 'FC': 34, 'FD': 2, 'FF': 6, 'FS': 34, 'FT': 1, 'G': 1, 'PI': 225, 'SG': 11}",guga,7,-0.27
64,Tchà Tchà,86686,276,https://s.glbimg.com/es/sde/f/2019/05/06/fbb4319c2256b5cbf2fb558f6e3e9503_FORMATO.png,27,2.37,Danilo das Neves Pinheiro,0.9,4,7.48,37,"{'CA': 3, 'CV': 1, 'DS': 27, 'FC': 22, 'FD': 7, 'FF': 15, 'FS': 31, 'G': 4, 'I': 1, 'PI': 83}",tche-tche,7,-1.29
65,Anderson Martins,52618,265,https://s.glbimg.com/es/sde/f/2020/09/23/1530da64b72d2b015a6177c0b41e132f_FORMATO.png,5,2.82,Anderson Vieira Martins,0.0,3,6.34,37,"{'CA': 1, 'DS': 4, 'FC': 6, 'FF': 2, 'FS': 2, 'G': 1, 'PI': 5, 'SG': 1}",anderson-martins,6,0.0
66,Gustavo Henrique,107963,265,https://s.glbimg.com/es/sde/f/2021/01/22/42298a997c80961c07ae1d138228ee85_FORMATO.png,0,0.0,Gustavo Henrique Santos,0.0,3,2.0,37,{},gustavo-henrique,6,0.0
67,Clayson,83817,265,https://s.glbimg.com/es/sde/f/2020/02/28/d56707307468fee6760b2d5954c925f9_FORMATO.png,17,2.09,Clayson Henrique da Silva Vieira,0.0,5,4.53,37,"{'A': 1, 'CA': 2, 'DS': 10, 'FC': 16, 'FD': 6, 'FF': 9, 'FS': 16, 'G': 3, 'I': 3, 'PI': 85, 'PP': 1}",clayson,6,0.0
68,Anderson,38001,265,https://s.glbimg.com/es/sde/f/2020/07/23/d754afbf0688120fadf03222730e5233_FORMATO.png,8,1.75,Anderson Pedro Nunes da Silva Campos,0.0,1,2.5,37,"{'A': 1, 'DD': 8, 'DP': 1, 'FS': 1, 'GS': 15, 'PI': 55, 'SG': 1}",anderson,6,0.0
69,Vitor Bueno,87552,276,https://s.glbimg.com/es/sde/f/2020/03/09/f3543ab5bcf3404b175e6b2745d02ac5_FORMATO.png,26,2.09,Vitor Frezarin Bueno,0.0,4,7.18,37,"{'A': 1, 'CA': 2, 'DS': 14, 'FC': 10, 'FD': 10, 'FF': 13, 'FS': 29, 'FT': 1, 'G': 2, 'I': 3, 'PI': 101}",vitor-bueno,6,0.0
70,Wanderson,86143,356,https://s.glbimg.com/es/sde/f/2020/11/18/2e97acab2ac95708854691c5e1effc73_FORMATO.png,7,1.56,Wanderson Santos Pereira,0.0,3,3.84,37,"{'CA': 1, 'DS': 4, 'FC': 4, 'FS': 5, 'PI': 16, 'SG': 2}",wanderson,6,0.0
71,Zeca,87192,265,https://s.glbimg.com/es/sde/f/2020/02/28/63c70f39c75210a2afc1875bf96d34ec_FORMATO.png,10,2.06,JosÇ Carlos Cracco Neto,0.0,2,4.23,37,"{'CA': 1, 'DS': 5, 'FC': 3, 'FD': 1, 'FF': 4, 'G': 1, 'PI': 33, 'SG': 2}",zeca,6,0.0
72,Michael,99392,262,https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png,19,0.71,Michael Richard Delgado de Oliveira,0.0,5,4.59,37,"{'A': 1, 'CA': 1, 'DS': 8, 'FC': 18, 'FD': 3, 'FF': 10, 'FS': 8, 'PI': 42}",michael,6,0.0
73,Igor JuliÑo,81951,266,https://s.glbimg.com/es/sde/f/2020/08/11/2b7fa1291409b9d4149ac8bd9c461eb7_FORMATO.png,18,3.15,Igor de Carvalho JuliÑo,0.0,2,5.44,37,"{'A': 3, 'CA': 5, 'DS': 37, 'FC': 39, 'FD': 1, 'FF': 7, 'FS': 30, 'I': 2, 'PI': 115, 'SG': 5}",igor-juliao,6,0.0
74,Yago Pikachu,80196,267,https://s.glbimg.com/es/sde/f/2020/08/17/563094d1d3dc45cf4923d8458d9eb999_FORMATO.png,25,3.66,Glaybson Yago Souza Lisboa,5.7,2,8.71,37,"{'CA': 5, 'DS': 35, 'FC': 20, 'FD': 5, 'FF': 8, 'FS': 37, 'FT': 2, 'G': 2, 'I': 4, 'PI': 149, 'SG': 8}",yago-pikachu,2,1.05
75,Cano,79631,267,https://s.glbimg.com/es/sde/f/2020/08/17/9596d26050cf4d5c6dfba8dbd7af4da9_FORMATO.png,31,4.58,Germ†n Ezequiel Cano,-0.4,5,12.58,37,"{'A': 1, 'DS': 14, 'FC': 28, 'FD': 20, 'FF': 19, 'FS': 22, 'FT': 1, 'G': 13, 'I': 15, 'PI': 79, 'PP': 1}",cano,7,0.53
